@FS0
2.5	-7.2	7.34
3.0	-5.93	6.03
3.5	-4.93	4.99
4.0	-4.41	4.46
4.5	-4.12	4.16
5.0	-3.99	4.03
#infty	-3.87	3.91
@FS1
2.5	-9.44	9.5
3.0	-7.09	7.12
3.5	-5.97	6.0
4.0	-5.41	5.43
4.5	-5.11	5.13
5.0	-4.96	4.98
#infty	-4.78	4.8
@FT0
2.5	-0.42	0.415
3.0	-0.31	0.281
3.5	-0.243	0.223
4.0	-0.207	0.191
4.5	-0.18	0.173
5.0	-0.17	0.162
#infty	-0.156	0.147
@FT1
2.5	-0.475	0.504
3.0	-0.322	0.34
3.5	-0.249	0.261
4.0	-0.211	0.221
4.5	-0.19	0.198
5.0	-0.177	0.185
#infty	-0.161	0.167
@FT2
2.5	-1.09	1.09
3.0	-0.738	0.738
3.5	-0.576	0.578
4.0	-0.491	0.493
4.5	-0.442	0.444
5.0	-0.412	0.414
#infty	-0.374	0.375
